time="2022-06-05T23:33:50+03:00" level=info msg="start application" func="main.start()" file="app.go, 32"
time="2022-06-05T23:33:50+03:00" level=info msg="detect app path" func="main.start()" file="app.go, 38"
time="2022-06-05T23:33:50+03:00" level=info msg="create socket" func="main.start()" file="app.go, 43"
time="2022-06-05T23:33:50+03:00" level=info msg="listen unix socket" func="main.start()" file="app.go, 46"
time="2022-06-05T23:33:50+03:00" level=info msg="server is listening unix socket: %sC:\\Users\\alexey\\Desktop\\golang projs\\first-rest\\build\\app.sock" func="main.start()" file="app.go, 50"
time="2022-06-05T23:34:07+03:00" level=info msg="create router" func="main.main()" file="app.go, 18"
time="2022-06-05T23:34:07+03:00" level=info msg="read application configuration" func="first-rest/internal/config.GetConfig.func1()" file="config.go, 24"
time="2022-06-05T23:34:07+03:00" level=info msg="register user handler" func="main.main()" file="app.go, 23"
time="2022-06-05T23:34:07+03:00" level=info msg="start application" func="main.start()" file="app.go, 32"
time="2022-06-05T23:34:07+03:00" level=info msg="detect app path" func="main.start()" file="app.go, 38"
time="2022-06-05T23:34:07+03:00" level=info msg="create socket" func="main.start()" file="app.go, 43"
time="2022-06-05T23:34:07+03:00" level=info msg="listen unix socket" func="main.start()" file="app.go, 46"
time="2022-06-05T23:34:20+03:00" level=info msg="server is listening unix socket: %sC:\\Users\\alexey\\Desktop\\golang projs\\first-rest\\build\\app.sock" func="main.start()" file="app.go, 50"
time="2022-06-05T23:36:07+03:00" level=info msg="create router" func="main.main()" file="app.go, 18"
time="2022-06-05T23:36:07+03:00" level=info msg="read application configuration" func="first-rest/internal/config.GetConfig.func1()" file="config.go, 24"
time="2022-06-05T23:36:07+03:00" level=info msg="register user handler" func="main.main()" file="app.go, 23"
time="2022-06-05T23:36:07+03:00" level=info msg="start application" func="main.start()" file="app.go, 32"
time="2022-06-05T23:36:07+03:00" level=info msg="detect app path" func="main.start()" file="app.go, 38"
time="2022-06-05T23:36:07+03:00" level=info msg="create socket" func="main.start()" file="app.go, 43"
time="2022-06-05T23:36:07+03:00" level=info msg="listen unix socket" func="main.start()" file="app.go, 46"
time="2022-06-05T23:36:07+03:00" level=info msg="server is listening unix socket: %sC:\\Users\\alexey\\Desktop\\golang projs\\first-rest\\build\\app.sock" func="main.start()" file="app.go, 50"
time="2022-06-05T23:36:38+03:00" level=info msg="create router" func="main.main()" file="app.go, 18"
time="2022-06-05T23:36:38+03:00" level=info msg="read application configuration" func="first-rest/internal/config.GetConfig.func1()" file="config.go, 24"
time="2022-06-05T23:36:38+03:00" level=info msg="register user handler" func="main.main()" file="app.go, 23"
